incident_severity,umbrella_limit,witnesses,vehicle_claim,incident_city,total_claim_amount,insured_hobbies,authorities_contacted,property_claim,incident_state,policy_state,bodily_injuries,policy_csl,insured_sex,injury_claim,auto_make,number_of_vehicles_involved,police_report_available,incident_type,insured_relationship,fraud_reported
Minor Damage,0,0,31840,Arlington,51740,hiking,Police,7960,NY,IL,0,250/500,MALE,11940,Jeep,3,NO,Multi-vehicle Collision,not-in-family,N
Total Loss,0,1,40200,Riverwood,53600,hiking,Ambulance,6700,PA,OH,0,250/500,MALE,6700,Volkswagen,1,YES,Single Vehicle Collision,husband,Y
Total Loss,0,0,34930,Arlington,44910,board-games,Other,4990,SC,IL,1,250/500,MALE,4990,Dodge,3,NO,Multi-vehicle Collision,wife,N
Major Damage,4000000,2,29600,Hillsdale,48100,kayaking,Fire,7400,PA,IN,0,250/500,FEMALE,11100,Volkswagen,3,YES,Multi-vehicle Collision,wife,N
Trivial Damage,0,1,4270,Riverwood,6100,kayaking,,1220,WV,IL,0,100/300,FEMALE,610,Ford,1,NO,Vehicle Theft,unmarried,N
Minor Damage,6000000,0,47760,Hillsdale,79600,board-games,Other,15920,PA,IN,1,100/300,MALE,15920,Jeep,1,YES,Single Vehicle Collision,wife,N
Minor Damage,0,1,59920,Hillsdale,77040,dancing,Ambulance,8560,OH,IN,1,100/300,MALE,8560,Honda,1,YES,Single Vehicle Collision,other-relative,N
Minor Damage,0,1,39830,Columbus,62590,kayaking,Fire,11380,SC,IL,0,250/500,FEMALE,11380,Volkswagen,1,NO,Single Vehicle Collision,other-relative,N
Total Loss,0,1,58950,Northbend,85150,skydiving,Other,13100,WV,IN,0,500/1000,FEMALE,13100,Chevrolet,1,NO,Single Vehicle Collision,other-relative,N
Trivial Damage,4000000,1,3600,Hillsdale,4950,exercise,,900,NY,IL,2,100/300,MALE,450,Chevrolet,1,NO,Vehicle Theft,wife,N
Major Damage,0,0,35770,Riverwood,51100,basketball,Fire,5110,VA,OH,2,500/1000,MALE,10220,Audi,3,YES,Multi-vehicle Collision,not-in-family,N
Minor Damage,0,3,67200,Springfield,100800,reading,Police,16800,SC,IL,2,500/1000,FEMALE,16800,Dodge,1,NO,Single Vehicle Collision,not-in-family,N
Total Loss,4000000,3,57890,Springfield,90970,exercise,Police,16540,VA,IN,2,250/500,FEMALE,16540,Accura,1,NO,Single Vehicle Collision,husband,N
Minor Damage,7000000,1,59520,Northbend,81840,cross-fit,Police,7440,SC,OH,1,100/300,MALE,14880,Chevrolet,1,YES,Single Vehicle Collision,other-relative,Y
Major Damage,7000000,2,43920,Northbend,54900,sleeping,Ambulance,5490,NY,OH,0,100/300,MALE,5490,Mercedes,1,NO,Single Vehicle Collision,not-in-family,N
Total Loss,7000000,3,64480,Northbend,88660,cross-fit,Fire,16120,NY,OH,2,500/1000,MALE,8060,Mercedes,1,NO,Single Vehicle Collision,husband,Y
Total Loss,0,1,13500,Riverwood,18000,bungie-jumping,Ambulance,2250,NC,IL,1,100/300,FEMALE,2250,Audi,3,NO,Multi-vehicle Collision,unmarried,N
Minor Damage,0,3,3850,Northbrook,5500,exercise,Police,550,NY,IN,1,250/500,FEMALE,1100,Chevrolet,1,YES,Vehicle Theft,other-relative,N
Major Damage,5000000,0,53760,Hillsdale,73920,hiking,Other,6720,WV,IN,1,100/300,FEMALE,13440,Honda,3,NO,Multi-vehicle Collision,own-child,Y
Total Loss,0,2,64820,Columbus,101860,polo,Ambulance,18520,VA,OH,0,500/1000,FEMALE,18520,Honda,1,YES,Single Vehicle Collision,other-relative,N
Minor Damage,0,1,3430,Riverwood,5390,movies,,980,SC,OH,0,250/500,MALE,980,Volkswagen,1,YES,Parked Car,own-child,N
Minor Damage,0,2,39270,Springfield,50490,hiking,Police,5610,SC,IN,1,250/500,MALE,5610,Nissan,1,NO,Single Vehicle Collision,unmarried,N
Total Loss,0,3,38850,Arlington,55500,basketball,Police,11100,SC,OH,0,100/300,FEMALE,5550,Mercedes,1,NO,Single Vehicle Collision,unmarried,N
Minor Damage,0,1,5120,Hillsdale,7040,hiking,Police,640,VA,OH,1,500/1000,MALE,1280,Nissan,1,YES,Vehicle Theft,husband,N
Total Loss,4000000,1,35140,Northbrook,40160,basketball,Other,0,VA,IL,0,250/500,MALE,5020,Chevrolet,3,YES,Multi-vehicle Collision,not-in-family,N
Total Loss,0,3,41760,Columbus,55680,bungie-jumping,Fire,6960,NC,IL,2,500/1000,MALE,6960,Saab,2,NO,Multi-vehicle Collision,husband,N
Trivial Damage,0,1,4240,Springfield,5300,skydiving,Police,530,WV,IN,1,250/500,MALE,530,Jeep,1,NO,Vehicle Theft,own-child,Y
Trivial Damage,0,3,3900,Arlington,5200,camping,,650,WV,OH,0,250/500,FEMALE,650,Accura,1,NO,Parked Car,not-in-family,N
Major Damage,0,1,41580,Riverwood,59400,bungie-jumping,Ambulance,11880,NY,IL,2,250/500,MALE,5940,Honda,1,NO,Single Vehicle Collision,own-child,N
Minor Damage,0,1,1960,Arlington,2520,paintball,Police,280,SC,OH,1,100/300,FEMALE,280,BMW,1,NO,Vehicle Theft,other-relative,N
Trivial Damage,0,1,3840,Hillsdale,5760,golf,Police,960,NY,IL,2,250/500,MALE,960,Suburu,1,YES,Vehicle Theft,not-in-family,N
Minor Damage,0,0,61360,Hillsdale,76700,base-jumping,Fire,7670,WV,OH,2,250/500,MALE,7670,Suburu,1,YES,Single Vehicle Collision,not-in-family,N
Trivial Damage,7000000,2,4440,Springfield,5920,board-games,Police,740,NY,IN,0,250/500,FEMALE,740,Chevrolet,1,NO,Parked Car,unmarried,N
Major Damage,0,3,50050,Riverwood,64350,paintball,Fire,7150,SC,IL,0,100/300,MALE,7150,Chevrolet,3,NO,Multi-vehicle Collision,wife,N
Total Loss,0,2,12720,Northbend,19080,kayaking,Ambulance,2120,WV,IL,1,250/500,MALE,4240,Saab,3,NO,Multi-vehicle Collision,husband,N
Minor Damage,0,1,43520,Springfield,54400,exercise,Police,5440,SC,OH,2,500/1000,FEMALE,5440,BMW,1,NO,Single Vehicle Collision,not-in-family,N
Total Loss,0,0,47840,Columbus,59800,chess,Fire,5980,SC,OH,1,100/300,FEMALE,5980,Ford,1,NO,Single Vehicle Collision,other-relative,Y
Major Damage,0,3,57600,Springfield,72000,golf,Police,7200,VA,OH,0,500/1000,MALE,7200,Audi,3,YES,Multi-vehicle Collision,husband,N
Total Loss,3000000,3,43380,Riverwood,65070,hiking,Police,14460,SC,IN,2,250/500,MALE,7230,Mercedes,4,NO,Multi-vehicle Collision,husband,N
Trivial Damage,0,1,6160,Columbus,8800,reading,Police,880,WV,IN,0,250/500,MALE,1760,Suburu,1,NO,Parked Car,not-in-family,N
Minor Damage,0,0,4080,Hillsdale,6120,movies,Police,1020,NC,OH,2,250/500,FEMALE,1020,Toyota,1,NO,Vehicle Theft,other-relative,N
Trivial Damage,0,2,5310,Columbus,7080,skydiving,,590,OH,IN,1,500/1000,MALE,1180,Dodge,1,NO,Vehicle Theft,not-in-family,N
Minor Damage,6000000,3,21450,Riverwood,34320,yachting,Ambulance,4290,NY,OH,2,100/300,MALE,8580,Volkswagen,3,YES,Multi-vehicle Collision,other-relative,N
Major Damage,0,0,34020,Springfield,53460,reading,Other,9720,SC,OH,1,500/1000,FEMALE,9720,Dodge,3,NO,Multi-vehicle Collision,wife,Y
Total Loss,5000000,3,61020,Columbus,81360,cross-fit,Other,13560,NC,IN,1,100/300,FEMALE,6780,Suburu,1,NO,Single Vehicle Collision,wife,Y
Minor Damage,0,2,58960,Springfield,81070,bungie-jumping,Ambulance,14740,NC,OH,1,100/300,MALE,7370,Audi,3,YES,Multi-vehicle Collision,other-relative,Y
Minor Damage,0,2,47340,Columbus,63120,base-jumping,Fire,10520,NY,IL,2,100/300,FEMALE,5260,Audi,1,NO,Single Vehicle Collision,unmarried,N
Trivial Damage,0,1,5040,Springfield,7200,yachting,,720,NC,OH,2,250/500,MALE,1440,BMW,1,NO,Vehicle Theft,not-in-family,N
Total Loss,0,3,51120,Hillsdale,70290,exercise,Other,6390,WV,IL,2,500/1000,FEMALE,12780,Saab,1,NO,Single Vehicle Collision,not-in-family,Y
Minor Damage,6000000,0,41670,Northbrook,60190,camping,Fire,9260,SC,OH,1,100/300,MALE,9260,BMW,3,NO,Multi-vehicle Collision,other-relative,N
Major Damage,0,2,44640,Hillsdale,61380,base-jumping,Other,5580,NY,OH,1,250/500,MALE,11160,Honda,1,YES,Single Vehicle Collision,other-relative,Y
Minor Damage,0,2,19670,Springfield,28100,exercise,Ambulance,5620,NY,OH,2,250/500,FEMALE,2810,Jeep,1,NO,Single Vehicle Collision,own-child,N
Total Loss,0,0,31220,Hillsdale,49060,yachting,Fire,8920,NY,IL,0,500/1000,FEMALE,8920,Chevrolet,1,NO,Single Vehicle Collision,husband,N
Total Loss,4000000,1,44380,Columbus,57060,board-games,Fire,6340,NY,IL,1,250/500,MALE,6340,Mercedes,3,NO,Multi-vehicle Collision,wife,N
Major Damage,0,3,51920,Arlington,77880,kayaking,Fire,12980,VA,IN,0,100/300,FEMALE,12980,Accura,3,YES,Multi-vehicle Collision,not-in-family,N
Total Loss,0,1,51450,Springfield,73500,basketball,Ambulance,14700,NY,IN,0,500/1000,MALE,7350,Jeep,1,YES,Single Vehicle Collision,unmarried,N
Minor Damage,7000000,0,68400,Riverwood,88920,paintball,Other,13680,NY,IL,2,250/500,FEMALE,6840,Accura,2,NO,Multi-vehicle Collision,own-child,N
Major Damage,0,2,30310,Arlington,47630,bungie-jumping,Other,4330,NY,IL,0,500/1000,FEMALE,12990,Toyota,1,NO,Single Vehicle Collision,not-in-family,Y
Total Loss,0,3,45920,Hillsdale,59040,kayaking,Fire,6560,WV,IL,1,100/300,FEMALE,6560,Saab,3,NO,Multi-vehicle Collision,unmarried,N
Minor Damage,0,3,57840,Columbus,79530,dancing,Other,7230,SC,IL,0,250/500,FEMALE,14460,Accura,1,NO,Single Vehicle Collision,other-relative,N
Total Loss,0,2,43920,Columbus,53680,base-jumping,Other,4880,NY,OH,0,100/300,FEMALE,4880,Honda,1,YES,Single Vehicle Collision,wife,N
Minor Damage,6000000,3,24400,Arlington,33550,dancing,Police,6100,SC,OH,2,500/1000,MALE,3050,Volkswagen,1,YES,Single Vehicle Collision,own-child,N
Total Loss,0,1,55280,Springfield,69100,exercise,Other,6910,WV,IN,2,250/500,FEMALE,6910,Toyota,4,YES,Multi-vehicle Collision,husband,N
Major Damage,0,0,50750,Hillsdale,79750,paintball,Police,14500,OH,IL,2,100/300,MALE,14500,Nissan,3,NO,Multi-vehicle Collision,own-child,N
Major Damage,0,2,37520,Riverwood,53600,polo,Other,10720,PA,IN,0,100/300,MALE,5360,Audi,3,YES,Multi-vehicle Collision,other-relative,Y
Minor Damage,0,0,57420,Riverwood,76560,kayaking,Fire,6380,NY,IN,1,100/300,MALE,12760,Nissan,3,NO,Multi-vehicle Collision,unmarried,N
Total Loss,3000000,1,31990,Arlington,41130,golf,Fire,4570,NY,IN,1,100/300,MALE,4570,Dodge,1,NO,Single Vehicle Collision,unmarried,N
Total Loss,0,3,57200,Columbus,78650,cross-fit,Fire,7150,SC,IL,2,500/1000,MALE,14300,Audi,3,NO,Multi-vehicle Collision,own-child,Y
Major Damage,0,1,51680,Springfield,71060,reading,Other,12920,NY,OH,1,500/1000,FEMALE,6460,Saab,1,NO,Single Vehicle Collision,own-child,N
Minor Damage,0,1,31770,Northbrook,38830,dancing,Fire,3530,WV,IN,1,500/1000,FEMALE,3530,Suburu,1,NO,Single Vehicle Collision,own-child,N
Major Damage,0,0,42800,Riverwood,53500,cross-fit,Fire,5350,SC,IL,0,250/500,FEMALE,5350,Saab,1,YES,Single Vehicle Collision,own-child,N
Major Damage,0,0,58960,Columbus,73700,skydiving,Other,7370,VA,IL,2,100/300,FEMALE,7370,Chevrolet,1,NO,Single Vehicle Collision,other-relative,Y
Trivial Damage,0,1,5040,Hillsdale,6300,camping,,630,SC,OH,2,500/1000,FEMALE,630,Nissan,1,YES,Parked Car,other-relative,N
Total Loss,0,2,43600,Riverwood,65400,paintball,Ambulance,10900,NY,IL,2,100/300,FEMALE,10900,Dodge,3,NO,Multi-vehicle Collision,own-child,N
Trivial Damage,0,2,2240,Springfield,3200,board-games,,320,PA,OH,1,250/500,MALE,640,Mercedes,1,NO,Vehicle Theft,other-relative,N
Major Damage,0,3,52780,Arlington,75400,golf,Fire,15080,NY,IN,0,500/1000,FEMALE,7540,Dodge,1,YES,Single Vehicle Collision,other-relative,Y
Minor Damage,0,2,45220,Northbend,58140,golf,Fire,6460,NY,IL,0,250/500,FEMALE,6460,Saab,1,YES,Single Vehicle Collision,not-in-family,N
Total Loss,4000000,1,68310,Columbus,98670,chess,Ambulance,15180,SC,OH,0,100/300,FEMALE,15180,Chevrolet,3,NO,Multi-vehicle Collision,own-child,Y
Minor Damage,0,3,4130,Hillsdale,5900,golf,,590,SC,IL,0,250/500,MALE,1180,Mercedes,1,NO,Parked Car,other-relative,N
Major Damage,0,3,51280,Arlington,64100,paintball,Fire,6410,NC,IN,1,250/500,FEMALE,6410,Chevrolet,1,YES,Single Vehicle Collision,other-relative,N
Total Loss,0,1,40320,Springfield,55440,yachting,Fire,10080,SC,OH,0,250/500,FEMALE,5040,Suburu,2,NO,Multi-vehicle Collision,unmarried,Y
Major Damage,5000000,2,58800,Northbend,80850,yachting,Police,14700,SC,OH,1,250/500,MALE,7350,Ford,3,NO,Multi-vehicle Collision,other-relative,Y
Trivial Damage,0,1,6120,Springfield,7480,bungie-jumping,Police,680,WV,OH,1,100/300,FEMALE,680,Saab,1,NO,Vehicle Theft,husband,N
Major Damage,0,3,41720,Riverwood,53640,movies,Fire,5960,OH,OH,2,250/500,MALE,5960,Nissan,1,NO,Single Vehicle Collision,wife,Y
Major Damage,0,2,46000,Northbrook,63250,base-jumping,Fire,11500,SC,OH,2,500/1000,FEMALE,5750,Chevrolet,3,NO,Multi-vehicle Collision,wife,Y
Major Damage,7000000,1,39360,Hillsdale,59040,golf,Ambulance,9840,NY,IL,0,100/300,FEMALE,9840,Dodge,3,NO,Multi-vehicle Collision,own-child,N
Total Loss,0,0,35350,Arlington,50500,base-jumping,Other,5050,SC,IL,1,250/500,MALE,10100,Accura,3,YES,Multi-vehicle Collision,other-relative,N
Major Damage,0,1,38460,Columbus,57690,cross-fit,Police,12820,SC,OH,0,500/1000,MALE,6410,Mercedes,1,NO,Single Vehicle Collision,other-relative,Y
Trivial Damage,0,3,4620,Springfield,5940,base-jumping,Police,660,NY,IL,1,100/300,FEMALE,660,Toyota,1,YES,Vehicle Theft,husband,N
Major Damage,0,2,37170,Northbend,47790,dancing,Fire,5310,SC,OH,0,250/500,FEMALE,5310,Suburu,3,YES,Multi-vehicle Collision,unmarried,Y
Trivial Damage,0,1,3150,Riverwood,3850,skydiving,,350,SC,OH,0,250/500,FEMALE,350,Dodge,1,NO,Parked Car,other-relative,N
Major Damage,0,0,47200,Arlington,59000,reading,Police,5900,NC,IL,2,100/300,MALE,5900,Ford,1,NO,Single Vehicle Collision,husband,Y
Major Damage,8000000,1,49420,Arlington,70600,golf,Ambulance,14120,NY,OH,0,250/500,MALE,7060,Volkswagen,3,NO,Multi-vehicle Collision,husband,Y
Minor Damage,7000000,1,44720,Hillsdale,61490,base-jumping,Police,11180,SC,IN,1,500/1000,MALE,5590,Dodge,3,NO,Multi-vehicle Collision,other-relative,N
Minor Damage,0,0,41920,Northbend,57640,kayaking,Police,10480,SC,IL,1,500/1000,FEMALE,5240,Volkswagen,1,YES,Single Vehicle Collision,wife,N
Trivial Damage,0,0,4770,Hillsdale,6890,movies,Police,1060,NC,IL,1,250/500,FEMALE,1060,Audi,1,NO,Vehicle Theft,own-child,N
Major Damage,0,2,35520,Columbus,53280,hiking,Fire,5920,PA,IL,2,250/500,MALE,11840,Toyota,3,NO,Multi-vehicle Collision,wife,Y
Minor Damage,0,0,54810,Springfield,78300,video-games,Fire,7830,SC,IN,0,500/1000,FEMALE,15660,BMW,3,NO,Multi-vehicle Collision,unmarried,N
Major Damage,0,3,32270,Springfield,41490,reading,Ambulance,4610,PA,OH,0,100/300,MALE,4610,Nissan,3,NO,Multi-vehicle Collision,other-relative,N
Total Loss,0,3,50160,Hillsdale,68970,camping,Fire,6270,SC,IN,2,100/300,FEMALE,12540,Chevrolet,3,YES,Multi-vehicle Collision,wife,N
Minor Damage,0,0,59710,Arlington,85300,camping,Police,8530,VA,OH,2,250/500,MALE,17060,Toyota,3,YES,Multi-vehicle Collision,husband,N
Minor Damage,0,0,2240,Hillsdale,3080,camping,,280,NY,IL,0,100/300,FEMALE,560,Audi,1,NO,Parked Car,wife,N
Major Damage,0,0,49680,Arlington,71760,paintball,Police,11040,WV,IL,2,100/300,MALE,11040,Jeep,4,NO,Multi-vehicle Collision,other-relative,Y
Minor Damage,0,0,35820,Arlington,59700,skydiving,Ambulance,11940,NY,OH,1,100/300,FEMALE,11940,Nissan,3,NO,Multi-vehicle Collision,wife,N
Minor Damage,0,2,43280,Columbus,64920,skydiving,Fire,10820,NY,IL,0,500/1000,FEMALE,10820,Ford,3,NO,Multi-vehicle Collision,other-relative,N
Major Damage,0,1,29190,Riverwood,37530,board-games,Ambulance,4170,SC,IN,0,500/1000,FEMALE,4170,Jeep,3,NO,Multi-vehicle Collision,own-child,N
Total Loss,0,2,49840,Columbus,64080,paintball,Ambulance,7120,WV,IN,1,250/500,MALE,7120,Saab,3,NO,Multi-vehicle Collision,husband,N
Minor Damage,0,0,43920,Northbrook,60390,cross-fit,Other,5490,PA,OH,1,100/300,MALE,10980,BMW,1,NO,Single Vehicle Collision,unmarried,Y
Major Damage,0,1,46800,Northbend,64350,exercise,Police,11700,WV,IL,0,100/300,FEMALE,5850,Nissan,3,YES,Multi-vehicle Collision,not-in-family,Y
Minor Damage,6000000,1,49630,Northbend,70900,sleeping,Police,7090,SC,IL,2,100/300,FEMALE,14180,BMW,3,YES,Multi-vehicle Collision,own-child,N
Minor Damage,0,3,31040,Columbus,46560,movies,Fire,7760,PA,OH,1,250/500,FEMALE,7760,Nissan,3,NO,Multi-vehicle Collision,unmarried,N
Trivial Damage,0,1,3010,Arlington,4730,cross-fit,Police,860,NY,IN,2,100/300,FEMALE,860,Chevrolet,1,NO,Vehicle Theft,wife,Y
Minor Damage,0,0,4340,Northbrook,6820,video-games,Police,1240,SC,OH,0,250/500,FEMALE,1240,Jeep,1,YES,Vehicle Theft,not-in-family,N
Major Damage,5000000,2,41930,Riverwood,59900,sleeping,Police,5990,WV,OH,0,250/500,MALE,11980,BMW,1,NO,Single Vehicle Collision,other-relative,Y
Major Damage,0,3,53040,Riverwood,79560,basketball,Police,13260,WV,OH,1,250/500,FEMALE,13260,Ford,3,YES,Multi-vehicle Collision,own-child,N
Total Loss,0,1,51120,Northbrook,70290,kayaking,Other,6390,VA,IL,0,500/1000,FEMALE,12780,Accura,1,NO,Single Vehicle Collision,not-in-family,N
Total Loss,6000000,0,46480,Hillsdale,63910,hiking,Ambulance,11620,SC,IN,2,100/300,MALE,5810,Suburu,3,NO,Multi-vehicle Collision,not-in-family,N
Trivial Damage,0,0,5120,Riverwood,6400,golf,,640,SC,OH,1,100/300,FEMALE,640,Toyota,1,NO,Vehicle Theft,not-in-family,N
Major Damage,0,2,51940,Northbrook,66780,movies,Ambulance,7420,SC,IN,1,250/500,FEMALE,7420,Ford,1,YES,Single Vehicle Collision,husband,Y
Minor Damage,4000000,2,5840,Northbrook,8760,hiking,Police,1460,VA,IN,0,500/1000,FEMALE,1460,BMW,1,NO,Parked Car,own-child,N
Major Damage,-1000000,1,68480,Arlington,94160,kayaking,Ambulance,17120,NC,OH,0,100/300,MALE,8560,Chevrolet,1,NO,Single Vehicle Collision,wife,N
Total Loss,0,2,34380,Springfield,51570,golf,Ambulance,11460,OH,IL,0,250/500,MALE,5730,BMW,3,NO,Multi-vehicle Collision,other-relative,N
Major Damage,0,0,31620,Northbend,52700,polo,Fire,10540,NC,IL,1,250/500,FEMALE,10540,BMW,3,NO,Multi-vehicle Collision,husband,Y
Minor Damage,0,2,69930,Columbus,101010,dancing,Fire,15540,NY,IL,2,500/1000,MALE,15540,Mercedes,1,NO,Single Vehicle Collision,wife,N
Minor Damage,0,2,42720,Columbus,53400,golf,Police,5340,NC,IN,1,250/500,MALE,5340,Honda,4,YES,Multi-vehicle Collision,unmarried,Y
Total Loss,0,2,48080,Northbrook,72120,basketball,Fire,12020,SC,IN,1,250/500,FEMALE,12020,Mercedes,1,NO,Single Vehicle Collision,wife,N
Minor Damage,0,2,53970,Hillsdale,77100,reading,Police,15420,PA,IL,2,250/500,MALE,7710,Audi,3,YES,Multi-vehicle Collision,wife,N
Trivial Damage,0,3,2700,Northbend,3300,dancing,Police,0,SC,IL,2,100/300,FEMALE,600,Dodge,1,NO,Parked Car,wife,N
Minor Damage,0,0,4320,Northbend,5940,golf,,540,WV,IL,1,500/1000,FEMALE,1080,Nissan,1,NO,Parked Car,not-in-family,N
Major Damage,0,0,35400,Northbend,63720,video-games,Other,21240,PA,IN,1,250/500,MALE,7080,Accura,2,NO,Multi-vehicle Collision,other-relative,N
Trivial Damage,0,3,5760,Riverwood,7680,base-jumping,Police,640,SC,IL,1,100/300,FEMALE,1280,Audi,1,NO,Vehicle Theft,not-in-family,N
Total Loss,5000000,2,57680,Riverwood,93730,yachting,Police,21630,NY,IL,1,100/300,MALE,14420,Honda,3,NO,Multi-vehicle Collision,own-child,N
Major Damage,0,2,52380,Arlington,87300,base-jumping,Police,17460,NC,IL,0,100/300,MALE,17460,Jeep,3,NO,Multi-vehicle Collision,other-relative,N
Trivial Damage,5000000,2,3780,Columbus,5670,camping,Police,630,NY,IL,0,250/500,MALE,1260,Ford,1,NO,Parked Car,wife,N
Minor Damage,0,0,46060,Springfield,65800,bungie-jumping,Other,6580,NY,IN,0,250/500,MALE,13160,Accura,3,NO,Multi-vehicle Collision,husband,N
Major Damage,0,1,28560,Arlington,36720,base-jumping,Other,4080,NY,OH,2,100/300,FEMALE,4080,Honda,1,YES,Single Vehicle Collision,wife,Y
Major Damage,2000000,1,38400,Riverwood,52800,kayaking,Fire,9600,SC,IL,1,250/500,FEMALE,4800,Mercedes,1,YES,Single Vehicle Collision,own-child,Y
Total Loss,0,2,47280,Arlington,59100,cross-fit,Fire,5910,SC,IN,1,250/500,FEMALE,5910,Nissan,3,YES,Multi-vehicle Collision,unmarried,Y
Total Loss,6000000,1,56320,Northbrook,77440,hiking,Other,7040,NY,OH,1,500/1000,MALE,14080,Suburu,3,YES,Multi-vehicle Collision,unmarried,N
Total Loss,0,2,36560,Northbend,45700,golf,Fire,4570,NY,IL,2,250/500,MALE,4570,BMW,3,NO,Multi-vehicle Collision,husband,N
Major Damage,0,2,58720,Springfield,80740,dancing,Other,14680,SC,OH,2,100/300,FEMALE,7340,Toyota,3,YES,Multi-vehicle Collision,other-relative,Y
Major Damage,0,3,22800,Northbrook,31350,base-jumping,Ambulance,5700,SC,IN,0,100/300,MALE,2850,Honda,3,NO,Multi-vehicle Collision,not-in-family,Y
Total Loss,0,0,24500,Hillsdale,35000,skydiving,Other,7000,SC,OH,0,100/300,FEMALE,3500,Suburu,1,NO,Single Vehicle Collision,other-relative,N
Total Loss,0,2,47600,Hillsdale,68000,board-games,Police,6800,WV,OH,2,500/1000,MALE,13600,Toyota,3,NO,Multi-vehicle Collision,own-child,N
Minor Damage,8000000,0,58500,Northbend,84500,golf,Other,13000,SC,IL,2,250/500,FEMALE,13000,BMW,3,NO,Multi-vehicle Collision,unmarried,N
Minor Damage,0,1,52850,Northbend,75500,bungie-jumping,Police,15100,WV,IL,2,500/1000,FEMALE,7550,Nissan,1,NO,Single Vehicle Collision,wife,N
Total Loss,0,3,60400,Riverwood,90600,bungie-jumping,Other,15100,WV,OH,1,500/1000,MALE,15100,BMW,3,NO,Multi-vehicle Collision,not-in-family,N
Total Loss,0,1,48240,Northbend,64320,camping,Ambulance,10720,VA,IN,1,500/1000,FEMALE,5360,Accura,3,NO,Multi-vehicle Collision,wife,N
Minor Damage,0,0,22190,Northbend,31700,yachting,Police,3170,NY,IL,1,250/500,FEMALE,6340,Toyota,3,NO,Multi-vehicle Collision,not-in-family,N
Major Damage,0,1,49520,Springfield,74280,reading,Other,12380,NY,IN,0,500/1000,MALE,12380,Suburu,1,YES,Single Vehicle Collision,other-relative,Y
Total Loss,0,2,60390,Columbus,80520,video-games,Fire,6710,NY,IL,0,100/300,FEMALE,13420,Toyota,1,YES,Single Vehicle Collision,wife,N
Major Damage,0,3,44520,Hillsdale,63600,polo,Other,12720,SC,IN,0,250/500,MALE,6360,Dodge,3,YES,Multi-vehicle Collision,husband,N
Total Loss,0,2,26240,Riverwood,32800,movies,Police,3280,WV,IL,1,250/500,MALE,3280,BMW,1,YES,Single Vehicle Collision,husband,N
Total Loss,0,2,29460,Northbend,44190,board-games,Police,4910,PA,OH,0,500/1000,FEMALE,9820,Audi,3,NO,Multi-vehicle Collision,other-relative,N
Major Damage,0,2,35280,Springfield,50400,sleeping,Other,5040,VA,IL,2,250/500,MALE,10080,Honda,2,NO,Multi-vehicle Collision,not-in-family,Y
Total Loss,0,1,61880,Northbend,88400,sleeping,Police,8840,NY,IL,1,500/1000,MALE,17680,Nissan,3,YES,Multi-vehicle Collision,not-in-family,N
Total Loss,0,2,48400,Hillsdale,66550,bungie-jumping,Fire,6050,NY,IL,0,100/300,FEMALE,12100,Volkswagen,3,NO,Multi-vehicle Collision,own-child,N
Minor Damage,0,0,47840,Arlington,65780,yachting,Police,11960,NY,IN,0,100/300,MALE,5980,Chevrolet,3,NO,Multi-vehicle Collision,own-child,N
Major Damage,0,2,37680,Columbus,51810,base-jumping,Other,4710,NY,IN,0,250/500,MALE,9420,Audi,3,YES,Multi-vehicle Collision,husband,Y
Major Damage,4000000,0,40480,Springfield,55660,board-games,Other,10120,WV,IN,1,250/500,MALE,5060,Honda,1,NO,Single Vehicle Collision,own-child,Y
Major Damage,0,3,29760,Springfield,44640,base-jumping,Fire,4960,NY,OH,2,500/1000,MALE,9920,Toyota,1,NO,Single Vehicle Collision,not-in-family,N
Major Damage,0,3,56480,Riverwood,77660,reading,Ambulance,14120,NY,IL,1,500/1000,FEMALE,7060,Nissan,3,NO,Multi-vehicle Collision,husband,Y
Trivial Damage,0,2,3760,Northbend,5640,base-jumping,,940,SC,IN,2,250/500,FEMALE,940,Nissan,1,NO,Parked Car,unmarried,N
Trivial Damage,0,2,2030,Arlington,3190,reading,,580,VA,IL,2,500/1000,FEMALE,580,Suburu,1,NO,Parked Car,husband,N
Total Loss,6000000,0,46760,Arlington,53440,hiking,Fire,6680,NC,OH,0,100/300,MALE,0,Ford,1,YES,Single Vehicle Collision,wife,N
Minor Damage,6000000,1,50750,Hillsdale,65250,camping,Police,7250,WV,IL,0,500/1000,FEMALE,7250,BMW,1,YES,Single Vehicle Collision,unmarried,N
Minor Damage,4000000,1,34440,Columbus,44280,sleeping,Fire,4920,SC,OH,2,250/500,MALE,4920,Chevrolet,3,NO,Multi-vehicle Collision,unmarried,N
Total Loss,0,0,54670,Springfield,70290,camping,Police,7810,NY,IL,2,500/1000,MALE,7810,Dodge,1,NO,Single Vehicle Collision,wife,N
Minor Damage,0,1,69680,Hillsdale,87100,movies,Other,8710,NY,IN,1,250/500,FEMALE,8710,Saab,1,YES,Single Vehicle Collision,husband,N
Total Loss,0,3,41220,Columbus,50380,video-games,Fire,4580,NY,IN,1,500/1000,MALE,4580,Suburu,3,NO,Multi-vehicle Collision,unmarried,N
Total Loss,0,2,45360,Arlington,64800,cross-fit,Police,6480,VA,IL,2,100/300,FEMALE,12960,Audi,3,NO,Multi-vehicle Collision,wife,Y
